,Topic Number,Top Words,Weight
0,-1,chatgpt,0.00996326952969117
1,-1,like,0.009874712758449802
2,-1,ai,0.009573747456492506
3,-1,just,0.008040634054018968
4,-1,im,0.00785969971112004
5,-1,link,0.006947231960733398
6,-1,make,0.006889991244170941
7,-1,prompts,0.006672938070579635
8,-1,prompt,0.006356623413302546
9,-1,use,0.006210032180397522
10,0,writing,0.05694989154915868
11,0,chatgpt,0.027296171510168388
12,0,explores,0.016647660116195107
13,0,inputs,0.01648461954039312
14,0,fiction,0.01588806614926156
15,0,vet,0.014926758138271075
16,0,characters,0.014135568530144669
17,0,diagnosis,0.013455980090350326
18,0,narrative,0.012794364118518062
19,0,themes,0.01222039706055094
20,1,dont,0.07558194711078375
21,1,bing,0.05724825591266243
22,1,im,0.02048937425940777
23,1,disclaimer,0.017883470424656954
24,1,search,0.017123119000148127
25,1,like,0.016420941828484255
26,1,chat,0.014810664570218207
27,1,just,0.01456697493011645
28,1,disclaimer real,0.014060445239597333
29,1,sydney,0.013838696390056283
30,2,ai,0.021988307006211516
31,2,said,0.01960376012669221
32,2,jobs,0.015366788011775608
33,2,data,0.012924502691609397
34,2,job,0.012222974465950248
35,2,companies,0.01029726371888295
36,2,new,0.009542664177013238
37,2,company,0.009260530843449757
38,2,microsoft,0.008750436006796397
39,2,al,0.008597983518896072
40,3,art,0.05098678099158251
41,3,image,0.023758968536275727
42,3,design,0.020573878985108568
43,3,ascii,0.01794523521851655
44,3,github,0.01599360066307779
45,3,ascii art,0.015694896181643894
46,3,ai,0.014558018302672521
47,3,watermark,0.01375342827298737
48,3,link,0.01284727195704685
49,3,midjourney,0.012809804049253233
50,4,language,0.018910930794732293
51,4,al,0.01777649672257185
52,4,model,0.01518508481146014
53,4,school,0.014989535176274129
54,4,content,0.014184172620132206
55,4,al language,0.013907453770029962
56,4,language model,0.01314560385455604
57,4,missile,0.012949928860603022
58,4,moses,0.012792763542210489
59,4,day,0.012494804577488767
60,5,gpt4,0.03610522730995931
61,5,plugins,0.017569196682924837
62,5,gpt,0.015129384677314107
63,5,safety,0.014071464588676114
64,5,im,0.012684378015942443
65,5,just,0.011706586103991811
66,5,memory,0.010980871700453712
67,5,arc,0.010751798458930775
68,5,using,0.010444451931212045
69,5,data,0.009991172233410252
70,6,dan,0.09307479811608818
71,6,jailbreak,0.03918912274655732
72,6,prompt,0.018502042027936278
73,6,dan 50,0.015932778011411255
74,6,click,0.015645404947368186
75,6,openai,0.014292429015499795
76,6,content,0.013846214118363674
77,6,50,0.01367878494329416
78,6,respond,0.013264159853614626
79,6,new,0.012141523075032525
80,7,emotions,0.01935909486492212
81,7,just,0.017139397902495683
82,7,like,0.016032771431373577
83,7,john,0.01516633000583851
84,7,feel,0.014061132229764477
85,7,people,0.01330836060468966
86,7,emotion,0.012440140555580168
87,7,emotional,0.012414850409768637
88,7,ive,0.012413682737491195
89,7,im,0.012166802625641661
90,8,chatgpt,0.023475783589510794
91,8,paid,0.020809172755064744
92,8,months,0.020295058115045214
93,8,china,0.017639916649086644
94,8,access,0.01729431185340847
95,8,yes know,0.014747451476722061
96,8,email,0.014744879062316042
97,8,continue,0.01458935027857281
98,8,prime minister,0.014454986545411577
99,8,yes,0.01412961510989233
100,9,joke,0.057158238282680865
101,9,yo,0.036439482927199424
102,9,yo mama,0.03624481961130429
103,9,mama,0.03624481961130429
104,9,answer,0.03413480656032716
105,9,prompt,0.029786145978805554
106,9,jokes,0.02938835911997955
107,9,ai language,0.028536909726319514
108,9,offensive,0.027884420578529596
109,9,language model,0.026559326274626562
110,10,link,0.07266403648094197
111,10,ai,0.030975650560325856
112,10,models,0.016168476723329328
113,10,open,0.015011215384479209
114,10,open source,0.0148794681839988
115,10,source,0.014147210176050367
116,10,google,0.012351458737182337
117,10,link link,0.010568376695204478
118,10,using,0.010438373157665482
119,10,model,0.009770689387532706
120,11,agents,0.048690362907988866
121,11,ai,0.03348535009330311
122,11,researchers,0.029591390688974296
123,11,god,0.029327498150168677
124,11,al god,0.023842142654570096
125,11,generative agents,0.022928964949226242
126,11,2023,0.021305291273276745
127,11,future,0.021225104226454464
128,11,generative,0.02089729017493406
129,11,human,0.02085681460136082
130,12,chatgpt,0.021642897383487365
131,12,provide,0.01650155287243241
132,12,ask,0.013307624536115037
133,12,job,0.012656122498466453
134,12,resumes,0.012571921126628399
135,12,list,0.012332646245567196
136,12,questions,0.010770359462090288
137,12,using,0.010392937628591434
